OBJECTID,BOEM Lease Number,Project Name,Project Phase Number,Developer Name,Wind Turbine Identifier,Maximum Height (m),Maximum Megawatts,Maximum Rotor Diameter (m),Wind Turbine Model,Depth (m),Configuration Option Number,Installation Status,Notes,Longitude (NAD83),Latitude (NAD83),Northing,Easting,UTM Zone,Alternate location,x,y
4800,OCS-A 0486,Revolution Wind,,Revolution Wind LLC,B23,266,12,220,8-12 MW,,1,Proposed,,-71.10598203,41.19375509,4562404.184,323398.0235,19N,,-7915481.769,5040963.894
4801,OCS-A 0486,Revolution Wind,,Revolution Wind LLC,B24,266,12,220,8-12 MW,,1,Proposed,,-71.21534412,41.17505807,4560556.257,314173.7378,19N,,-7927655.904,5038198.335
4802,OCS-A 0486,Revolution Wind,,Revolution Wind LLC,B26,266,12,220,8-12 MW,,1,Proposed,,-71.17125849,41.17579973,4560545.349,317874,19N,,-7922748.313,5038308.022
4803,OCS-A 0486,Revolution Wind,,Revolution Wind LLC,B27,266,12,220,8-12 MW,,1,Proposed,,-71.14910085,41.17643826,4560570.082,319734.4614,19N,,-7920281.735,5038402.458
4804,OCS-A 0486,Revolution Wind,,Revolution Wind LLC,B28,266,12,220,8-12 MW,,1,Proposed,,-71.1270406,41.1768252,4560567.556,321586.0301,19N,,-7917825.998,5038459.685
4805,OCS-A 0486,Revolution Wind,,Revolution Wind LLC,B29,266,12,220,8-12 MW,,1,Proposed,,-71.10512262,41.17719794,4560564.211,323425.6012,19N,,-7915386.099,5038514.812
4806,OCS-A 0486,Revolution Wind,,Revolution Wind LLC,B30,266,12,220,8-12 MW,,1,Proposed,,-71.2588377,41.15753419,4558704.515,310474.6647,19N,,-7932497.59,5035607.016
4807,OCS-A 0486,Revolution Wind,,Revolution Wind LLC,B31,266,12,220,8-12 MW,,1,Proposed,,-71.23687596,41.15783839,4558690.682,312318.3363,19N,,-7930052.819,5035651.994
4808,OCS-A 0486,Revolution Wind,,Revolution Wind LLC,B32,266,12,220,8-12 MW,,1,Proposed,,-71.2149385,41.1583711,4558702.737,314160.5961,19N,,-7927610.751,5035730.757
4809,OCS-A 0486,Revolution Wind,,Revolution Wind LLC,B34,266,12,220,8-12 MW,,1,Proposed,,-71.17071615,41.15937649,4558720.848,317874,19N,,-7922687.94,5035879.411
4810,OCS-A 0486,Revolution Wind,,Revolution Wind LLC,B35,266,12,220,8-12 MW,,1,Proposed,,-71.14865258,41.15963861,4558704,319726,19N,,-7920231.833,5035918.168
4811,OCS-A 0486,Revolution Wind,,Revolution Wind LLC,B12,266,12,220,8-12 MW,,1,Proposed,,-71.06271535,41.22793525,4566112,327116.5104,19N,,-7910665.342,5046021.675
4812,OCS-A 0486,Revolution Wind,,Revolution Wind LLC,B17,266,12,220,8-12 MW,,1,Proposed,,-71.06229538,41.21126159,4564260,327107.7866,19N,,-7910618.591,5043554.075
4813,OCS-A 0486,Revolution Wind,,Revolution Wind LLC,B21,266,12,220,8-12 MW,,1,Proposed,,-71.14972712,41.19298598,4562408.567,319727.3385,19N,,-7920351.451,5040850.115
